lineage,nickname
B.1.1.7,Alpha
P.1,Gamma
B.1.621,Mu
B.1.617.2,Delta
BA.1,Omicron BA.1
BA.2,Omicron BA.2
BA.4,Omicron BA.4
BA.5,Omicron BA.5
XBB.1.5,
XBB.1.9,
XBB.1.16,
