municipality,fips,households,households_error_pct,households_lt_10k_pct,households_lt_10k_error_pct,households_10k_15k_pct,households_10k_15k_error_pct,households_15k_25k_pct,households_15k_25k_error_pct,households_25k_35k_pct,households_25k_35k_error_pct,households_35k_50k_pct,households_35k_50k_error_pct,households_50k_75k_pct,households_50k_75k_error_pct,households_75k_100k_pct,households_75k_100k_error_pct,households_100k_150k_pct,households_100k_150k_error_pct,households_150k_200k_pct,households_150k_200k_error_pct,households_gte_200k_pct,households_gte_200k_error_pct,households_median,households_median_error,households_mean,households_mean_error
Florida,72054,4271,235,21.8,5.5,13.3,4.7,26.9,5.8,13.0,3.6,13.2,4.4,8.6,3.5,1.2,1.6,1.8,2.1,0.0,1.0,0.0,1.0,20442,3361,24865,2920
Guánica,72055,5515,289,40.3,3.7,16.6,3.3,19.3,3.1,10.3,2.2,7.6,1.9,5.0,1.9,0.5,0.4,0.1,0.2,0.0,0.8,0.3,0.4,12995,1031,17873,1708
Guayama,72057,14022,480,29.9,2.9,14.4,2.0,20.3,2.6,11.6,1.9,10.5,2.3,7.3,2.0,3.9,1.1,1.7,0.8,0.1,0.2,0.2,0.3,17261,1222,26081,2294
Guayanilla,72059,6510,253,27.4,3.6,16.5,2.8,21.4,2.7,13.3,2.4,11.3,2.5,6.6,1.7,2.8,1.3,0.5,0.5,0.0,0.7,0.2,0.2,17379,1449,24024,1624
Guaynabo,72061,30758,587,15.2,1.5,9.4,1.1,13.9,1.3,10.6,1.4,11.9,1.2,13.4,1.2,8.0,1.0,7.7,1.1,4.1,0.8,5.8,0.9,35928,1674,64404,3480
Gurabo,72063,14529,376,18.5,3.2,7.7,1.8,12.8,2.3,10.9,2.5,14.8,2.6,14.2,2.6,7.4,2.1,8.0,2.3,3.7,1.7,1.9,1.1,35018,3092,53197,5883
Hatillo,72065,14160,438,27.5,3.1,15.0,2.5,18.4,2.3,11.1,2.3,11.1,2.6,9.9,2.0,4.4,1.4,2.1,1.0,0.3,0.3,0.3,0.3,17715,1548,28445,2206
Hormigueros,72067,6255,279,25.9,3.9,14.0,2.8,24.1,3.6,10.6,2.6,12.6,2.9,7.8,2.3,2.5,1.1,1.9,1.2,0.1,0.2,0.6,0.7,19030,1578,29039,4010
Humacao,72069,17615,501,24.0,2.1,13.2,1.8,21.8,2.3,15.2,1.9,10.8,1.7,8.2,1.4,3.1,0.9,1.9,0.7,0.6,0.4,1.2,0.6,20434,1486,32365,3471
Isabela,72071,14670,542,32.0,2.8,14.6,2.1,20.0,2.3,12.8,2.3,10.3,1.8,6.3,1.4,2.6,0.9,1.0,0.6,0.2,0.2,0.2,0.2,16540,1554,23164,1479
Jayuya,72073,4837,268,35.5,6.1,14.8,4.0,21.7,4.3,14.1,4.5,5.3,2.6,5.2,2.7,2.3,1.5,1.0,1.1,0.0,0.9,0.0,0.9,14808,2882,20181,2522
Juana Díaz,72075,15408,378,26.5,2.2,12.5,1.6,18.6,2.3,12.4,1.9,14.5,1.9,9.7,1.6,2.7,0.8,2.5,0.9,0.3,0.3,0.3,0.3,20657,1290,29277,2305
Juncos,72077,12558,445,29.4,3.2,10.2,1.9,21.2,2.8,10.5,2.0,12.5,2.2,10.3,2.4,4.4,1.8,1.3,0.8,0.0,0.4,0.3,0.4,19605,1249,27511,2148
