name,fips,region,pop2010,popest2010,popest2011,popest2012,popest2013,popest2014,popest2015,popest2016,popest2017,popest2018,popest2019,pop2020,popest2020,popest2021
Patillas,72109,Ponce,19277,19214,18950,18694,18468,18147,17784,17411,16961,16276,16211,15985,15951,15866
Peñuelas,72111,Ponce,24282,24221,23769,23277,22819,22290,21728,21120,20419,19399,19249,20399,20337,20058
Ponce,72113,Ponce,166327,165733,162621,159317,156396,153004,149039,144494,139888,133052,131881,137491,137007,135084
Quebradillas,72115,Arecibo,25919,25888,25685,25480,25282,24934,24579,24173,23653,22824,22918,23638,23622,23558
Rincón,72117,Mayagüez,15200,15206,15100,14981,14872,14731,14565,14360,14087,13613,13656,15187,15185,15173
Río Grande,72119,Fajardo,54304,54278,53864,53678,53332,52588,51767,50803,49631,47839,48025,47060,47057,46979
Sabana Grande,72121,Mayagüez,25265,25326,25031,24703,24458,24080,23605,23169,22602,21714,21712,22729,22698,22593
Salinas,72123,Ponce,31078,31037,30755,30405,30172,29733,29287,28804,28238,27087,27128,25789,25743,25662
San Germán,72125,Mayagüez,35527,35624,35190,34718,34161,33570,32946,32333,31465,30239,30227,31879,31812,31560
San Juan,72127,Metro,395326,394296,386927,379547,372507,364166,355561,346440,336139,320761,318441,342259,341257,337300
San Lorenzo,72129,Caguas,41058,41010,40631,40254,39919,39326,38749,38119,37283,35904,35989,37693,37670,37530
San Sebastián,72131,Mayagüez,42430,42354,41773,41189,40615,39830,39024,38187,37201,35659,35528,39345,39274,38970
Santa Isabel,72133,Ponce,23274,23277,23190,23084,22998,22751,22510,22220,21794,21050,21209,20281,20291,20291
Toa Alta,72135,Bayamón,74066,74282,74532,74661,74816,74603,74344,73890,73052,71008,72025,66852,67015,67569
Toa Baja,72137,Bayamón,89609,89474,88094,86743,85511,83853,82027,80211,77961,74582,74271,75293,75130,74368
Trujillo Alto,72139,Metro,74842,74785,73915,73038,72126,70866,69614,68196,66487,63721,63674,67740,67624,67211
Utuado,72141,Arecibo,33149,33045,32563,32027,31542,30923,30241,29506,28738,27502,27395,28287,28231,27950
Vega Alta,72143,Bayamón,39951,39934,39798,39610,39482,39058,38646,37991,37050,35782,36061,35395,35386,35410
Vega Baja,72145,Arecibo,59662,59562,58688,57857,57063,55942,54805,53677,52318,50136,50023,54414,54322,53897
Vieques,72147,Fajardo,9301,9314,9247,9227,9179,9081,8965,8833,8666,8362,8386,8249,8242,8224
Villalba,72149,Ponce,26073,26001,25542,25135,24745,24256,23662,23091,22452,21436,21372,22093,22044,21813
Yabucoa,72151,Caguas,37941,37874,37361,36844,36377,35732,35076,34363,33519,32254,32282,30426,30364,30186
Yauco,72153,Ponce,42043,41828,41036,40249,39492,38535,37585,36654,35474,33853,33575,34172,34062,33633
