bulletin_date,cumulative_positive_results,cumulative_negative_results,cumulative_pending_results,new_cases,new_confirmed_cases,new_probable_cases,new_suspect_cases,adjusted_confirmed_cases,adjusted_probable_cases,adjusted_suspect_cases,cumulative_cases,cumulative_confirmed_cases,cumulative_probable_cases,cumulative_suspect_cases,cumulative_deaths,cumulative_confirmed_deaths,cumulative_probable_deaths,cumulative_suspect_deaths
2020-03-13,3,5,10,,,,,,,,,,,,,,,
2020-03-14,4,12,4,,,,,,,,,,,,,,,
2020-03-15,5,12,4,,,,,,,,,,,,,,,
2020-03-16,5,13,4,,,,,,,,,,,,,,,
2020-03-17,5,31,21,,,,,,,,,,,,,,,
2020-03-18,6,56,29,,,,,,,,,,,,,,,
2020-03-19,14,114,52,,,,,,,,,,,,,,,
2020-03-20,21,143,71,,,,,,,,,,,,,,,
2020-03-21,23,183,69,,,,,,,,,,,,,,,
2020-03-22,31,189,35,,,,,,,,,,,,2,2,,
2020-03-23,39,268,42,,,,,,,,,,,,2,2,,
2020-03-24,51,317,70,,,,,,,,,,,,2,2,,
2020-03-25,64,377,335,,,,,,,,,,,,2,2,,
2020-03-26,79,519,334,,,,,,,,,,,,3,3,,
2020-03-27,100,739,792,,,,,,,,,,,,3,3,,
2020-03-28,127,841,817,,,,,,,,,,,,5,5,,
2020-03-29,174,931,794,,,,,,,,,,,,6,6,,
2020-03-30,239,1195,854,,,,,,,,,,,,8,8,,
2020-03-31,286,1409,897,,,,,,,,,,,,11,11,,
2020-04-01,316,1604,1119,,,,,,,,,,,,12,12,,
2020-04-02,378,2049,1055,,,,,,,,,,,,15,15,,
2020-04-03,452,2605,1129,,,,,,,,,,,,18,18,,
2020-04-04,475,3073,1039,,,,,,,,,,,,20,20,,
2020-04-05,513,3422,1000,,,,,,,,,,,,21,21,,
2020-04-06,573,3966,968,,,,,,,,,,,,23,23,,
2020-04-07,620,4266,1160,,,,,,,,,,,,24,24,,
2020-04-08,683,4703,1304,,,,,,,,,,,,33,26,7,
2020-04-09,725,5121,1392,,,,,,,,,,,,39,28,11,
2020-04-10,788,5583,1332,,,,,,,,,,,,42,29,13,
2020-04-11,897,5819,1251,,,,,,,,,,,,44,31,13,
2020-04-12,903,5960,1288,,,,,,,,,,,,45,32,13,
2020-04-13,923,6284,1322,,,,,,,,,,,,45,32,13,
2020-04-14,974,6825,1404,,,,,,,,,,,,51,36,15,
2020-04-15,1043,7315,1465,,,,,,,,,,,,56,37,19,
2020-04-16,1068,7864,1472,,,,,,,,,,,,58,39,19,
2020-04-17,1118,8055,1752,,,,,,,,,,,,60,41,19,
2020-04-18,1213,8280,1830,,,,,,,,,,,,62,41,21,
2020-04-19,1252,8486,1886,,,,,,,,,,,,63,42,21,
2020-04-20,1298,8789,1751,,,,,,,,,,,,64,43,21,
2020-04-21,1378,8842,1944,,,,,,,,,,,,67,46,21,
2020-04-22,1416,9313,1940,,,,,,,,1230,849,,,69,48,21,
2020-04-23,,,,46,3,,43,,,,1276,871,,405,77,51,26,
2020-04-24,,,,31,7,,24,,,,1307,878,,429,83,52,31,
2020-04-25,,,,64,13,,51,,,,1371,891,,480,84,53,31,
2020-04-26,,,,18,4,,14,,,,1389,895,,494,84,53,31,
2020-04-27,,,,11,3,,8,,,,1400,898,,502,86,54,32,
2020-04-28,,,,33,6,,27,,,,1433,904,,529,86,54,32,
2020-04-29,,,,106,51,,55,,,,1539,955,,584,92,54,38,
2020-04-30,,,,36,9,,27,,,,1575,964,,611,94,54,40,
2020-05-01,,,,182,9,,173,,,,1757,973,,784,95,54,41,
2020-05-02,,,,51,15,,36,,,,1808,988,,820,97,54,43,
2020-05-03,,,,35,13,,22,,,,1843,1001,,842,97,54,43,
2020-05-04,,,,81,4,,77,,,,1924,1005,,919,99,56,43,
2020-05-05,,,,44,1,,43,,,,1968,1006,,962,99,56,43,
2020-05-06,,,,63,7,,56,,,,2031,1013,,1018,102,56,46,
2020-05-07,,,,125,16,,109,,,,2156,1029,,1127,107,56,51,
2020-05-08,,,,17,5,,12,,,,2173,1034,,1139,108,57,51,
2020-05-09,,,,25,6,,19,,,,2198,1040,,1158,111,57,54,
2020-05-10,,,,58,14,,44,,,,2256,1054,,1202,113,57,56,
