bulletin_date,cumulative_positive_results,cumulative_negative_results,cumulative_pending_results,new_cases,new_confirmed_cases,new_probable_cases,new_suspect_cases,adjusted_confirmed_cases,adjusted_probable_cases,adjusted_suspect_cases,cumulative_cases,cumulative_confirmed_cases,cumulative_probable_cases,cumulative_suspect_cases,cumulative_deaths,cumulative_confirmed_deaths,cumulative_probable_deaths,cumulative_suspect_deaths
2020-05-11,,,,43,8,,35,,,,2299,1062,,1237,114,58,56,
2020-05-12,,,,30,2,,28,,,,2329,1064,,1265,115,58,57,
2020-05-13,,,,98,9,,89,,,,2427,1073,,1354,117,58,59,
2020-05-14,,,,115,15,,100,,,,2542,1088,,1454,122,59,63,
2020-05-15,,,,47,26,,21,,,,2589,1114,,1475,122,59,63,
2020-05-16,,,,57,33,,24,,,,2646,1147,,1499,123,60,63,
2020-05-17,,,,64,48,,16,,,,2710,1195,,1515,124,60,64,
2020-05-18,,,,95,12,,83,,,,2805,1207,,1598,124,60,64,
2020-05-19,,,,62,0,,62,-1,,,2866,1206,,1660,125,59,66,
2020-05-20,,,,47,7,,40,,,,2913,1213,,1700,126,60,66,
2020-05-21,,,,117,8,,109,,,,3030,1221,,1809,126,60,66,
2020-05-22,,,,70,9,,61,,,,3100,1230,,1870,127,61,66,
2020-05-23,,,,89,0,,89,,,,3189,1230,,1959,127,61,66,
2020-05-24,,,,71,10,,61,,,,3260,1240,,2020,129,61,68,
2020-05-25,,,,64,1,,63,,,,3324,1241,,2083,129,61,68,
2020-05-26,,,,73,19,,54,,,,3397,1260,,2137,129,61,68,
2020-05-27,,,,89,20,,69,,,,3486,1280,,2206,131,61,70,
2020-05-28,,,,161,13,,148,,,,3647,1293,,2354,132,62,70,
2020-05-29,,,,71,7,,64,,,,3718,1300,,2418,133,62,71,
2020-05-30,,,,58,4,,54,,,,3776,1304,,2472,136,63,73,
2020-05-31,,,,97,0,,97,,,,3873,1304,,2569,136,63,73,
2020-06-01,,,,62,1,,61,,,,3935,1305,,2630,138,63,75,
2020-06-02,,,,88,8,,80,,,,4023,1313,,2710,140,63,77,
2020-06-03,,,,130,9,,121,,,355,4508,1322,,3186,140,63,77,
2020-06-04,,,,112,8,,104,,,,4620,1330,,3290,141,63,78,
2020-06-05,,,,208,30,,178,,,87,4915,1360,,3555,142,63,79,
2020-06-06,,,,70,4,,66,,,,4985,1364,,3621,142,63,79,
2020-06-07,,,,61,9,,52,,,,5046,1373,,3673,142,63,79,
2020-06-08,,,,109,13,,96,,,30,5185,1386,,3799,142,63,79,
2020-06-09,,,,122,16,,106,,,22,5329,1402,,3927,143,63,80,
2020-06-10,,,,,1,,22,,,,,1403,,3949,144,56,88,
2020-06-11,,,,,13,,86,27,,58,,1443,,4093,146,56,90,
2020-06-12,,,,,8,,109,9,,28,,1460,,4230,146,56,90,
2020-06-13,,,,,11,,69,,,41,,1471,,4340,147,57,90,
2020-06-14,,,,,6,,47,,,26,,1477,,4413,147,57,90,
2020-06-15,,,,,2,,23,,,36,,1479,,4472,147,57,90,
2020-06-16,,,,,7,,21,,,24,,1486,,4517,147,57,90,
2020-06-17,,,,,10,,55,,,43,,1496,,4615,147,57,90,
2020-06-18,,,,,6,,61,-3,,20,,1499,,4696,147,57,90,
2020-06-19,,,,,32,,183,,,53,,1531,,4932,147,57,90,
2020-06-20,,,,,2,,30,,,30,,1533,,4992,149,57,92,
2020-06-21,,,,,7,,19,,,13,,1540,,5024,149,57,92,
2020-06-22,,,,,10,,59,,,52,,1550,,5135,149,57,92,
2020-06-23,,,,,22,,67,5,,41,,1577,,5243,149,57,92,
2020-06-24,,,,,1,,40,1,,15,,1579,,5298,151,57,94,
2020-06-25,,,,,4,,22,,,19,,1583,,5339,151,57,94,
2020-06-26,,,,,19,,113,,,12,,1602,,5464,152,58,94,
2020-06-27,,,,,22,,78,,,23,,1624,,5565,153,59,94,
2020-06-28,,,,,13,,40,1,,7,,1638,,5612,153,59,94,
2020-06-29,,,,,55,,120,,,40,,1693,,5772,153,59,94,
2020-06-30,,,,,27,,41,9,,-5,,1729,,5808,153,59,94,
2020-07-01,,,,,23,,41,15,,-8,,1767,,5841,153,59,94,
2020-07-02,,,,,25,,53,-1,,-2,,1791,,5892,154,60,94,
2020-07-03,,,,,27,,60,-1,,18,,1817,,5970,155,60,95,
2020-07-04,,,,,28,,68,1,,32,,1846,,6070,155,60,95,
2020-07-05,,,,,204,,333,21,,111,,2071,,6514,155,60,95,
2020-07-06,,,,,76,,55,,,-2,,2147,,6567,157,62,95,
2020-07-07,,,,,28,,18,-4,,-11,,2171,,6574,159,64,95,
2020-07-08,,,,,61,,48,3,,5,,2235,,6627,159,64,95,
2020-07-09,,,,,113,,132,3,,27,,2351,,6786,159,64,95,
2020-07-10,,,,,84,,103,,,42,,2435,,6931,167,71,96,
2020-07-11,,,,,148,,106,,,34,,2583,,7071,167,71,96,
2020-07-12,,,,,227,,94,1,,34,,2811,,7199,167,71,96,
2020-07-13,,,,,93,,24,,,-4,,2904,,7219,169,73,96,
2020-07-14,,,,,137,,107,2,,10,,3043,,7336,171,75,96,
2020-07-15,,,,,75,,71,1,,48,,3119,,7455,172,75,97,
2020-07-16,,,,,156,,202,-3,,191,,3272,,7848,177,80,97,
2020-07-17,,,,,188,,109,1,,35,,3461,,7992,178,81,97,
2020-07-18,,,,,325,,255,5,,25,,3791,,8272,178,81,97,
2020-07-19,,,,,220,,185,,,-7,,4011,,8450,180,81,99,
2020-07-20,,,,,235,,252,9,,-17,,4255,,8685,180,81,99,
2020-07-21,,,,,77,,28,-2,,-5,,4330,,8708,185,84,101,
2020-07-22,,,,,235,,172,9,,19,,4574,,8899,188,87,101,
2020-07-23,,,,,218,,272,2,,2,,4794,,9173,191,90,101,
2020-07-24,,,,,244,,294,4,,31,,5042,,9498,201,99,102,
2020-07-25,,,,,192,,378,2,,31,,5236,,9907,201,99,102,
2020-07-26,,,,,179,,99,1,,9,,5416,,10015,201,99,102,
2020-07-27,,,,,167,,249,2,,-9,,5585,,10255,209,104,105,
2020-07-28,,,,,115,,73,,,33,,5700,,10361,211,106,105,
2020-07-29,,,,,218,,298,2,,-7,,5920,,10652,214,109,105,
2020-07-30,,,,,78,,138,-1,,-6,,5997,,10784,219,113,106,
2020-07-31,,,,,455,,532,91,,13,,6543,,11329,225,115,110,
2020-08-01,,,,,224,,276,68,,-29,,6835,,11576,230,119,111,
2020-08-02,,,,,227,,137,51,,-35,,7113,,11678,230,119,111,
2020-08-03,,,,,267,,237,33,,-4,,7413,,11911,237,127,110,
2020-08-04,,,,,276,,94,-5,,-38,,7684,,11967,246,133,113,
2020-08-05,,,,,137,,140,3,,3,,7824,,12110,258,144,114,
