bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-05-03,< 10,10,2.0,11,2.1,21,2.1
2020-05-03,10-19,26,5.3,19,3.7,45,4.5
2020-05-03,20-29,75,15.4,66,12.9,141,14.1
2020-05-03,30-39,78,16.0,82,16.0,160,16.0
2020-05-03,40-49,84,17.2,103,20.1,187,18.7
2020-05-03,50-59,108,22.1,106,20.7,214,21.4
2020-05-03,60-69,62,12.7,69,13.5,131,13.1
2020-05-03,70-79,25,5.1,37,7.2,62,6.2
2020-05-03,≥ 80,20,4.1,19,3.7,39,3.9
2020-05-03,No disponible,1,,,,1,
2020-05-03,Total,489,100.0,512,100.0,1001,100.0
2020-05-04,< 10,12,2.4,11,2.1,23,2.3
2020-05-04,10-19,25,5.1,20,3.9,45,4.5
2020-05-04,20-29,75,15.3,66,12.8,141,14.0
2020-05-04,30-39,78,15.9,82,16.0,160,15.9
2020-05-04,40-49,84,17.1,104,20.2,188,18.7
2020-05-04,50-59,109,22.2,106,20.6,215,21.4
2020-05-04,60-69,62,12.7,69,13.4,131,13.0
2020-05-04,70-79,25,5.1,37,7.2,62,6.2
2020-05-04,≥ 80,20,4.1,19,3.7,39,3.9
2020-05-04,No disponible,1,,,,1,
2020-05-04,Total,491,100.0,514,100.0,1005,100.0
2020-05-05,< 10,12,2.4,11,2.1,23,2.3
2020-05-05,10-19,25,5.1,20,3.9,45,4.5
2020-05-05,20-29,75,15.3,66,12.8,141,14.0
2020-05-05,30-39,79,16.1,82,16.0,161,16.0
2020-05-05,40-49,84,17.1,104,20.2,188,18.7
2020-05-05,50-59,109,22.2,106,20.6,215,21.4
2020-05-05,60-69,62,12.6,69,13.4,131,13.0
2020-05-05,70-79,25,5.1,37,7.2,62,6.2
2020-05-05,≥ 80,20,4.1,19,3.7,39,3.9
2020-05-05,No disponible,1,,,,1,
2020-05-05,Total,492,100.0,514,100.0,1006,100.0
2020-05-06,< 10,12,2.4,11,2.1,23,2.3
2020-05-06,10-19,26,5.3,20,3.9,46,4.5
2020-05-06,20-29,75,15.2,68,13.1,143,14.1
2020-05-06,30-39,80,16.2,82,15.8,162,16.0
2020-05-06,40-49,85,17.2,105,20.3,190,18.8
2020-05-06,50-59,109,22.1,107,20.7,216,21.3
2020-05-06,60-69,62,12.6,69,13.3,131,12.9
2020-05-06,70-79,25,5.1,37,7.1,62,6.1
2020-05-06,≥ 80,20,4.0,19,3.7,39,3.9
2020-05-06,No disponible,1,,,,1,
