bulletin_date,municipality,confirmed_cases,confirmed_cases_percent
2020-04-26,Dorado,12,1.5
2020-04-26,Guánica,10,1.2
2020-04-26,Guayama,3,0.4
2020-04-26,Guayanilla,3,0.4
2020-04-26,Guaynabo,58,7.2
2020-04-26,Gurabo,8,1.0
2020-04-26,Hatillo,5,0.6
2020-04-26,Hormigueros,8,1.0
2020-04-26,Humacao,4,0.5
2020-04-26,Isabela,7,0.9
2020-04-26,Jayuya,2,0.2
2020-04-26,Juana Díaz,8,1.0
2020-04-26,Juncos,5,0.6
2020-04-26,Lajas,3,0.4
2020-04-26,Lares,4,0.5
2020-04-26,Las Marías,4,0.5
2020-04-26,Las Piedras,5,0.6
2020-04-26,Loíza,1,0.1
2020-04-26,Luquillo,5,0.6
2020-04-26,Manatí,1,0.1
2020-04-26,Maunabo,3,0.4
2020-04-26,Mayagüez,31,3.8
2020-04-26,Moca,12,1.5
2020-04-26,Morovis,1,0.1
2020-04-26,Naguabo,1,0.1
2020-04-26,Orocovis,2,0.2
2020-04-26,Patillas,3,0.4
2020-04-26,Peñuelas,2,0.2
2020-04-26,Ponce,21,2.6
2020-04-26,Quebradillas,13,1.6
2020-04-26,Rincón,2,0.2
2020-04-26,Río Grande,8,1.0
2020-04-26,Sabana Grande,9,1.1
2020-04-26,Salinas,4,0.5
2020-04-26,San Germán,12,1.5
2020-04-26,San Juan,155,19.2
2020-04-26,San Lorenzo,2,0.2
2020-04-26,San Sebastián,17,2.1
2020-04-26,Santa Isabel,2,0.2
2020-04-26,Toa Alta,19,2.4
2020-04-26,Toa Baja,17,2.1
2020-04-26,Trujillo Alto,22,2.7
2020-04-26,Vega Alta,12,1.5
2020-04-26,Vega Baja,7,0.9
2020-04-26,Villalba,5,0.6
2020-04-26,Yabucoa,3,0.4
2020-04-26,Yauco,15,1.9
2020-04-26,Nueva York,4,
2020-04-26,Nueva Jersey,1,
2020-04-26,Otro lugar fuera de PR,1,
2020-04-26,No disponible,83,
2020-04-26,Total,895,
2020-04-27,Adjuntas,3,0.4
2020-04-27,Aguada,6,0.7
2020-04-27,Aguadilla,12,1.5
2020-04-27,Aguas Buenas,11,1.4
2020-04-27,Aibonito,4,0.5
2020-04-27,Añasco,3,0.4
2020-04-27,Arecibo,14,1.7
2020-04-27,Arroyo,1,0.1
2020-04-27,Barranquitas,2,0.2
2020-04-27,Bayamón,42,5.2
2020-04-27,Cabo Rojo,15,1.9
2020-04-27,Caguas,37,4.6
2020-04-27,Camuy,1,0.1
2020-04-27,Canóvanas,11,1.4
2020-04-27,Carolina,55,6.8
2020-04-27,Cataño,6,0.7
2020-04-27,Cayey,5,0.6
2020-04-27,Ceiba,6,0.7
2020-04-27,Cidra,10,1.2
2020-04-27,Coamo,2,0.2
2020-04-27,Comerío,2,0.2
2020-04-27,Corozal,3,0.4
2020-04-27,Dorado,12,1.5
2020-04-27,Guánica,11,1.4
2020-04-27,Guayama,3,0.4
2020-04-27,Guayanilla,3,0.4
2020-04-27,Guaynabo,58,7.2
2020-04-27,Gurabo,8,1.0
2020-04-27,Hatillo,5,0.6
2020-04-27,Hormigueros,8,1.0
2020-04-27,Humacao,4,0.5
2020-04-27,Isabela,7,0.9
2020-04-27,Jayuya,2,0.2
2020-04-27,Juana Díaz,8,1.0
2020-04-27,Juncos,5,0.6
2020-04-27,Lajas,3,0.4
2020-04-27,Lares,4,0.5
2020-04-27,Las Marías,4,0.5
2020-04-27,Las Piedras,5,0.6
2020-04-27,Loíza,1,0.1
2020-04-27,Luquillo,5,0.6
2020-04-27,Manatí,1,0.1
2020-04-27,Maunabo,3,0.4
2020-04-27,Mayagüez,31,3.8
2020-04-27,Moca,12,1.5
2020-04-27,Morovis,1,0.1
2020-04-27,Naguabo,1,0.1
2020-04-27,Orocovis,2,0.2
2020-04-27,Patillas,3,0.4
2020-04-27,Peñuelas,2,0.2
2020-04-27,Ponce,21,2.6
2020-04-27,Quebradillas,13,1.6
2020-04-27,Rincón,2,0.2
2020-04-27,Río Grande,8,1.0
2020-04-27,Sabana Grande,9,1.1
2020-04-27,Salinas,4,0.5
2020-04-27,San Germán,12,1.5
2020-04-27,San Juan,155,19.2
2020-04-27,San Lorenzo,2,0.2
2020-04-27,San Sebastián,17,2.1
2020-04-27,Santa Isabel,2,0.2
2020-04-27,Toa Alta,19,2.4
2020-04-27,Toa Baja,17,2.1
2020-04-27,Trujillo Alto,22,2.7
2020-04-27,Vega Alta,12,1.5
2020-04-27,Vega Baja,7,0.9
2020-04-27,Villalba,5,0.6
2020-04-27,Yabucoa,3,0.4
2020-04-27,Yauco,15,1.9
2020-04-27,Nueva York,4,
2020-04-27,Nueva Jersey,1,
2020-04-27,Otro lugar fuera de PR,1,
2020-04-27,No disponible,84,
2020-04-27,Total,898,
2020-04-28,Adjuntas,3,0.4
2020-04-28,Aguada,6,0.7
2020-04-28,Aguadilla,12,1.5
2020-04-28,Aguas Buenas,12,1.5
2020-04-28,Aibonito,4,0.5
2020-04-28,Añasco,3,0.4
2020-04-28,Arecibo,14,1.7
2020-04-28,Arroyo,1,0.1
2020-04-28,Barranquitas,2,0.2
2020-04-28,Bayamón,42,5.1
2020-04-28,Cabo Rojo,15,1.8
2020-04-28,Caguas,38,4.7
2020-04-28,Camuy,1,0.1
2020-04-28,Canóvanas,11,1.3
2020-04-28,Carolina,55,6.7
2020-04-28,Cataño,6,0.7
2020-04-28,Cayey,5,0.6
2020-04-28,Ceiba,6,0.7
2020-04-28,Cidra,10,1.2
2020-04-28,Coamo,2,0.2
2020-04-28,Comerío,2,0.2
2020-04-28,Corozal,3,0.4
2020-04-28,Dorado,12,1.5
