bulletin_date,municipality,count,percent
2020-06-09,"Adjuntas",8,0.6
2020-06-09,"Aguada",10,0.7
2020-06-09,"Aguadilla",16,1.2
2020-06-09,"Aguas Buenas",17,1.3
2020-06-09,"Aibonito",8,0.6
2020-06-09,"Añasco",8,0.6
2020-06-09,"Arecibo",18,1.3
2020-06-09,"Arroyo",5,0.4
2020-06-09,"Barceloneta",2,0.1
2020-06-09,"Barranquitas",9,0.7
2020-06-09,"Bayamón",84,6.3
2020-06-09,"Cabo Rojo",21,1.6
2020-06-09,"Caguas",50,3.7
2020-06-09,"Camuy",1,0.1
2020-06-09,"Canóvanas",16,1.2
2020-06-09,"Carolina",81,6.0
2020-06-09,"Cataño",11,0.8
2020-06-09,"Cayey",11,0.8
2020-06-09,"Ceiba",7,0.5
2020-06-09,"Ciales",17,1.3
2020-06-09,"Cidra",11,0.8
2020-06-09,"Coamo",4,0.3
2020-06-09,"Comerío",3,0.2
2020-06-09,"Corozal",9,0.7
2020-06-09,"Dorado",16,1.2
2020-06-09,"Fajardo",3,0.2
2020-06-09,"Florida",3,0.2
2020-06-09,"Guánica",17,1.3
2020-06-09,"Guayama",6,0.4
2020-06-09,"Guayanilla",4,0.3
2020-06-09,"Guaynabo",90,6.7
2020-06-09,"Gurabo",11,0.8
2020-06-09,"Hatillo",9,0.7
2020-06-09,"Hormigueros",13,1.0
2020-06-09,"Humacao",9,0.7
2020-06-09,"Isabela",14,1.0
2020-06-09,"Jayuya",3,0.2
2020-06-09,"Juana Díaz",17,1.3
2020-06-09,"Juncos",8,0.6
2020-06-09,"Lajas",7,0.5
2020-06-09,"Lares",4,0.3
2020-06-09,"Las Marías",7,0.5
2020-06-09,"Las Piedras",12,0.9
2020-06-09,"Loíza",5,0.4
2020-06-09,"Luquillo",7,0.5
2020-06-09,"Manatí",5,0.4
2020-06-09,"Maricao",5,0.4
2020-06-09,"Maunabo",3,0.2
2020-06-09,"Mayagüez",45,3.4
2020-06-09,"Moca",19,1.4
2020-06-09,"Morovis",4,0.3
2020-06-09,"Naguabo",2,0.1
2020-06-09,"Naranjito",1,0.1
2020-06-09,"Orocovis",9,0.7
2020-06-09,"Patillas",4,0.3
2020-06-09,"Peñuelas",6,0.4
2020-06-09,"Ponce",49,3.6
2020-06-09,"Quebradillas",19,1.4
2020-06-09,"Rincón",4,0.3
2020-06-09,"Rio Grande",12,0.9
2020-06-09,"Sabana Grande",16,1.2
2020-06-09,"Salinas",10,0.7
2020-06-09,"San Germán",19,1.4
2020-06-09,"San Juan",244,18.2
2020-06-09,"San Lorenzo",7,0.5
2020-06-09,"San Sebastián",25,1.9
2020-06-09,"Santa Isabel",2,0.1
2020-06-09,"Toa Alta",29,2.2
2020-06-09,"Toa Baja",27,2.0
2020-06-09,"Trujillo Alto",27,2.0
2020-06-09,"Utuado",1,0.1
2020-06-09,"Vega Alta",12,0.9
2020-06-09,"Vega Baja",9,0.7
2020-06-09,"Villalba",12,0.9
2020-06-09,"Yabucoa",5,0.4
2020-06-09,"Yauco",19,1.4
2020-06-09,"Nueva York",8,
2020-06-09,"Nueva Jersey",2,
2020-06-09,"Florida (estado)",2,
2020-06-09,"Otro lugar fuera de PR",2,
2020-06-09,"No disponible",45,
2020-06-09,"Total",1402,
