bulletin_date,municipality,count,percent
2020-06-01,"Adjuntas",7,0.6
2020-06-01,"Aguada",10,0.8
2020-06-01,"Aguadilla",15,1.2
2020-06-01,"Aguas Buenas",16,1.3
2020-06-01,"Aibonito",8,0.7
2020-06-01,"Añasco",7,0.6
2020-06-01,"Arecibo",18,1.5
2020-06-01,"Arroyo",4,0.3
2020-06-01,"Barceloneta",1,0.1
2020-06-01,"Barranquitas",9,0.7
2020-06-01,"Bayamón",78,6.4
2020-06-01,"Cabo Rojo",19,1.6
2020-06-01,"Caguas",47,3.8
2020-06-01,"Camuy",1,0.1
2020-06-01,"Canóvanas",15,1.2
2020-06-01,"Carolina",77,6.3
2020-06-01,"Cataño",7,0.6
2020-06-01,"Cayey",10,0.8
2020-06-01,"Ceiba",7,0.6
2020-06-01,"Ciales",1,0.1
2020-06-01,"Cidra",12,1.0
2020-06-01,"Coamo",4,0.3
2020-06-01,"Comerío",3,0.2
2020-06-01,"Corozal",7,0.6
2020-06-01,"Dorado",13,1.1
2020-06-01,"Fajardo",2,0.2
2020-06-01,"Florida",2,0.2
2020-06-01,"Guánica",17,1.4
2020-06-01,"Guayama",6,0.5
2020-06-01,"Guayanilla",4,0.3
2020-06-01,"Guaynabo",81,6.6
2020-06-01,"Gurabo",10,0.8
2020-06-01,"Hatillo",9,0.7
2020-06-01,"Hormigueros",13,1.1
2020-06-01,"Humacao",7,0.6
2020-06-01,"Isabela",14,1.1
2020-06-01,"Jayuya",2,0.2
2020-06-01,"Juana Díaz",13,1.1
2020-06-01,"Juncos",5,0.4
2020-06-01,"Lajas",6,0.5
2020-06-01,"Lares",3,0.2
2020-06-01,"Las Marías",7,0.6
2020-06-01,"Las Piedras",11,0.9
2020-06-01,"Loíza",4,0.3
2020-06-01,"Luquillo",7,0.6
2020-06-01,"Manatí",5,0.4
2020-06-01,"Maricao",2,0.2
2020-06-01,"Maunabo",3,0.2
2020-06-01,"Mayagüez",43,3.5
2020-06-01,"Moca",18,1.5
2020-06-01,"Morovis",2,0.2
2020-06-01,"Naguabo",2,0.2
2020-06-01,"Naranjito",1,0.1
2020-06-01,"Orocovis",9,0.7
2020-06-01,"Patillas",4,0.3
2020-06-01,"Peñuelas",4,0.3
2020-06-01,"Ponce",47,3.8
2020-06-01,"Quebradillas",18,1.5
2020-06-01,"Rincón",4,0.3
2020-06-01,"Rio Grande",11,0.9
2020-06-01,"Sabana Grande",16,1.3
2020-06-01,"Salinas",9,0.7
2020-06-01,"San Germán",19,1.6
2020-06-01,"San Juan",227,18.5
2020-06-01,"San Lorenzo",6,0.5
2020-06-01,"San Sebastián",23,1.9
2020-06-01,"Santa Isabel",2,0.2
2020-06-01,"Toa Alta",26,2.1
2020-06-01,"Toa Baja",27,2.2
2020-06-01,"Trujillo Alto",25,2.0
2020-06-01,"Vega Alta",12,1.0
2020-06-01,"Vega Baja",8,0.7
2020-06-01,"Villalba",12,1.0
2020-06-01,"Yabucoa",3,0.2
2020-06-01,"Yauco",18,1.5
2020-06-01,"Nueva York",7,
2020-06-01,"Nueva Jersey",2,
2020-06-01,"Florida",1,
2020-06-01,"Otro lugar fuera de PR",2,
2020-06-01,"No disponible",68,
2020-06-01,"Total",1305,
