bulletin_date,municipality,count,percent
2020-05-12,"Adjuntas",3,0.3
2020-05-12,"Aguada",6,0.6
2020-05-12,"Aguadilla",12,1.3
2020-05-12,"Aguas Buenas",14,1.5
2020-05-12,"Aibonito",6,0.6
2020-05-12,"Añasco",6,0.6
2020-05-12,"Arecibo",15,1.6
2020-05-12,"Arroyo",1,0.1
2020-05-12,"Barranquitas",6,0.6
2020-05-12,"Bayamón",55,5.7
2020-05-12,"Cabo Rojo",16,1.7
2020-05-12,"Caguas",43,4.5
2020-05-12,"Camuy",1,0.1
2020-05-12,"Canóvanas",11,1.1
2020-05-12,"Carolina",64,6.7
2020-05-12,"Cataño",6,0.6
2020-05-12,"Cayey",5,0.5
2020-05-12,"Ceiba",6,0.6
2020-05-12,"Cidra",11,1.1
2020-05-12,"Coamo",3,0.3
2020-05-12,"Comerío",2,0.2
2020-05-12,"Corozal",5,0.5
2020-05-12,"Dorado",13,1.4
2020-05-12,"Fajardo",1,0.1
2020-05-12,"Florida",1,0.1
2020-05-12,"Guánica",15,1.6
2020-05-12,"Guayama",4,0.4
2020-05-12,"Guayanilla",3,0.3
2020-05-12,"Guaynabo",65,6.8
2020-05-12,"Gurabo",9,0.9
2020-05-12,"Hatillo",5,0.5
2020-05-12,"Hormigueros",9,0.9
2020-05-12,"Humacao",6,0.6
2020-05-12,"Isabela",8,0.8
2020-05-12,"Jayuya",2,0.2
2020-05-12,"Juana Díaz",10,1.0
2020-05-12,"Juncos",5,0.5
2020-05-12,"Lajas",5,0.5
2020-05-12,"Lares",3,0.3
2020-05-12,"Las Marías",5,0.5
2020-05-12,"Las Piedras",5,0.5
2020-05-12,"Loíza",2,0.2
2020-05-12,"Luquillo",7,0.7
2020-05-12,"Manatí",3,0.3
2020-05-12,"Maunabo",3,0.3
2020-05-12,"Mayagüez",32,3.3
2020-05-12,"Moca",14,1.5
2020-05-12,"Morovis",1,0.1
2020-05-12,"Naguabo",1,0.1
2020-05-12,"Orocovis",6,0.6
2020-05-12,"Patillas",3,0.3
2020-05-12,"Peñuelas",2,0.2
2020-05-12,"Ponce",31,3.2
2020-05-12,"Quebradillas",18,1.9
2020-05-12,"Rincón",2,0.2
2020-05-12,"Rio Grande",10,1.0
2020-05-12,"Sabana Grande",10,1.0
2020-05-12,"Salinas",5,0.5
2020-05-12,"San Germán",17,1.8
2020-05-12,"San Juan",171,17.9
2020-05-12,"San Lorenzo",3,0.3
2020-05-12,"San Sebastián",19,2.0
2020-05-12,"Santa Isabel",3,0.3
2020-05-12,"Toa Alta",26,2.7
2020-05-12,"Toa Baja",25,2.6
2020-05-12,"Trujillo Alto",23,2.4
2020-05-12,"Vega Alta",12,1.3
2020-05-12,"Vega Baja",8,0.8
2020-05-12,"Villalba",9,0.9
2020-05-12,"Yabucoa",3,0.3
2020-05-12,"Yauco",17,1.8
2020-05-12,"Nueva York",5,
2020-05-12,"Nueva Jersey",1,
2020-05-12,"Florida (estado)",1,
2020-05-12,"Otro lugar fuera de PR",2,
2020-05-12,"No disponible",98,
2020-05-12,"Total",1064,
