bulletin_date,municipality,count,percent
2020-05-13,"Adjuntas",3,0.3
2020-05-13,"Aguada",6,0.6
2020-05-13,"Aguadilla",12,1.2
2020-05-13,"Aguas Buenas",14,1.4
2020-05-13,"Aibonito",6,0.6
2020-05-13,"Añasco",6,0.6
2020-05-13,"Arecibo",15,1.6
2020-05-13,"Arroyo",1,0.1
2020-05-13,"Barranquitas",7,0.7
2020-05-13,"Bayamón",59,6.1
2020-05-13,"Cabo Rojo",16,1.7
2020-05-13,"Caguas",44,4.6
2020-05-13,"Camuy",1,0.1
2020-05-13,"Canóvanas",11,1.1
2020-05-13,"Carolina",64,6.6
2020-05-13,"Cataño",6,0.6
2020-05-13,"Cayey",6,0.6
2020-05-13,"Ceiba",6,0.6
2020-05-13,"Cidra",11,1.1
2020-05-13,"Coamo",3,0.3
2020-05-13,"Comerío",2,0.2
2020-05-13,"Corozal",6,0.6
2020-05-13,"Dorado",13,1.3
2020-05-13,"Fajardo",1,0.1
2020-05-13,"Florida",1,0.1
2020-05-13,"Guánica",15,1.6
2020-05-13,"Guayama",4,0.4
2020-05-13,"Guayanilla",3,0.3
2020-05-13,"Guaynabo",66,6.8
2020-05-13,"Gurabo",9,0.9
2020-05-13,"Hatillo",5,0.5
2020-05-13,"Hormigueros",9,0.9
2020-05-13,"Humacao",6,0.6
2020-05-13,"Isabela",8,0.8
2020-05-13,"Jayuya",2,0.2
2020-05-13,"Juana Díaz",10,1.0
2020-05-13,"Juncos",5,0.5
2020-05-13,"Lajas",5,0.5
2020-05-13,"Lares",3,0.3
2020-05-13,"Las Marías",5,0.5
2020-05-13,"Las Piedras",6,0.6
2020-05-13,"Loíza",1,0.1
2020-05-13,"Luquillo",7,0.7
2020-05-13,"Manatí",3,0.3
2020-05-13,"Maunabo",3,0.3
2020-05-13,"Mayagüez",32,3.3
2020-05-13,"Moca",14,1.4
2020-05-13,"Morovis",1,0.1
2020-05-13,"Naguabo",1,0.1
2020-05-13,"Orocovis",6,0.6
2020-05-13,"Patillas",3,0.3
2020-05-13,"Peñuelas",2,0.2
2020-05-13,"Ponce",31,3.2
2020-05-13,"Quebradillas",18,1.9
2020-05-13,"Rincón",2,0.2
2020-05-13,"Rio Grande",10,1.0
2020-05-13,"Sabana Grande",10,1.0
2020-05-13,"Salinas",5,0.5
2020-05-13,"San Germán",17,1.8
2020-05-13,"San Juan",172,17.8
2020-05-13,"San Lorenzo",3,0.3
2020-05-13,"San Sebastián",19,2.0
2020-05-13,"Santa Isabel",3,0.3
2020-05-13,"Toa Alta",26,2.7
2020-05-13,"Toa Baja",25,2.6
2020-05-13,"Trujillo Alto",23,2.4
2020-05-13,"Vega Alta",12,1.2
2020-05-13,"Vega Baja",8,0.8
2020-05-13,"Villalba",9,0.9
2020-05-13,"Yabucoa",3,0.3
2020-05-13,"Yauco",17,1.8
2020-05-13,"Nueva York",5,
2020-05-13,"Nueva Jersey",1,
2020-05-13,"Florida (estado)",1,
2020-05-13,"Otro lugar fuera de PR",2,
2020-05-13,"No disponible",97,
2020-05-13,"Total",1073,
