bulletin_date,municipality,count,percent
2020-05-17,"Adjuntas",5,0.5
2020-05-17,"Aguada",6,0.6
2020-05-17,"Aguadilla",14,1.3
2020-05-17,"Aguas Buenas",14,1.3
2020-05-17,"Aibonito",6,0.6
2020-05-17,"Añasco",5,0.5
2020-05-17,"Arecibo",16,1.5
2020-05-17,"Arroyo",3,0.3
2020-05-17,"Barranquitas",8,0.7
2020-05-17,"Bayamón",66,6.1
2020-05-17,"Cabo Rojo",17,1.6
2020-05-17,"Caguas",44,4.1
2020-05-17,"Camuy",1,0.1
2020-05-17,"Canóvanas",14,1.3
2020-05-17,"Carolina",69,6.4
2020-05-17,"Cataño",6,0.6
2020-05-17,"Cayey",9,0.8
2020-05-17,"Ceiba",6,0.6
2020-05-17,"Cidra",11,1.0
2020-05-17,"Coamo",4,0.4
2020-05-17,"Comerío",3,0.3
2020-05-17,"Corozal",7,0.6
2020-05-17,"Dorado",13,1.2
2020-05-17,"Fajardo",2,0.2
2020-05-17,"Florida",2,0.2
2020-05-17,"Guánica",16,1.5
2020-05-17,"Guayama",5,0.5
2020-05-17,"Guayanilla",3,0.3
2020-05-17,"Guaynabo",72,6.7
2020-05-17,"Gurabo",10,0.9
2020-05-17,"Hatillo",7,0.6
2020-05-17,"Hormigueros",9,0.8
2020-05-17,"Humacao",7,0.6
2020-05-17,"Isabela",11,1.0
2020-05-17,"Jayuya",2,0.2
2020-05-17,"Juana Díaz",13,1.2
2020-05-17,"Juncos",4,0.4
2020-05-17,"Lajas",5,0.5
2020-05-17,"Lares",3,0.3
2020-05-17,"Las Marías",6,0.6
2020-05-17,"Las Piedras",8,0.7
2020-05-17,"Loíza",2,0.2
2020-05-17,"Luquillo",7,0.6
2020-05-17,"Manatí",4,0.4
2020-05-17,"Maricao",1,0.1
2020-05-17,"Maunabo",3,0.3
2020-05-17,"Mayagüez",37,3.4
2020-05-17,"Moca",15,1.4
2020-05-17,"Morovis",1,0.1
2020-05-17,"Naguabo",2,0.2
2020-05-17,"Naranjito",1,0.1
2020-05-17,"Orocovis",6,0.6
2020-05-17,"Patillas",3,0.3
2020-05-17,"Peñuelas",3,0.3
2020-05-17,"Ponce",42,3.9
2020-05-17,"Quebradillas",18,1.7
2020-05-17,"Rincón",2,0.2
2020-05-17,"Rio Grande",10,0.9
2020-05-17,"Sabana Grande",11,1.0
2020-05-17,"Salinas",6,0.6
2020-05-17,"San Germán",18,1.7
2020-05-17,"San Juan",200,18.6
2020-05-17,"San Lorenzo",4,0.4
2020-05-17,"San Sebastián",21,1.9
2020-05-17,"Santa Isabel",2,0.2
2020-05-17,"Toa Alta",26,2.4
2020-05-17,"Toa Baja",26,2.4
2020-05-17,"Trujillo Alto",23,2.1
2020-05-17,"Vega Alta",12,1.1
2020-05-17,"Vega Baja",8,0.7
2020-05-17,"Villalba",12,1.1
2020-05-17,"Yabucoa",3,0.3
2020-05-17,"Yauco",17,1.6
2020-05-17,"Nueva York",5,
2020-05-17,"Nueva Jersey",2,
2020-05-17,"Florida (estado)",1,
2020-05-17,"Otro lugar fuera de PR",2,
2020-05-17,"No disponible",107,
2020-05-17,"Total",1195,
