bulletin_date,municipality,count,percent
2020-05-22,"Adjuntas",6,0.5
2020-05-22,"Aguada",8,0.7
2020-05-22,"Aguadilla",15,1.3
2020-05-22,"Aguas Buenas",15,1.3
2020-05-22,"Aibonito",8,0.7
2020-05-22,"Añasco",6,0.5
2020-05-22,"Arecibo",16,1.4
2020-05-22,"Arroyo",4,0.3
2020-05-22,"Barranquitas",9,0.8
2020-05-22,"Bayamón",73,6.4
2020-05-22,"Cabo Rojo",17,1.5
2020-05-22,"Caguas",44,3.8
2020-05-22,"Camuy",1,0.1
2020-05-22,"Canóvanas",14,1.2
2020-05-22,"Carolina",73,6.4
2020-05-22,"Cataño",6,0.5
2020-05-22,"Cayey",10,0.9
2020-05-22,"Ceiba",6,0.5
2020-05-22,"Cidra",11,1.0
2020-05-22,"Coamo",4,0.3
2020-05-22,"Comerío",3,0.3
2020-05-22,"Corozal",7,0.6
2020-05-22,"Dorado",13,1.1
2020-05-22,"Fajardo",2,0.2
2020-05-22,"Florida",2,0.2
2020-05-22,"Guánica",17,1.5
2020-05-22,"Guayama",5,0.4
2020-05-22,"Guayanilla",4,0.3
2020-05-22,"Guaynabo",75,6.6
2020-05-22,"Gurabo",10,0.9
2020-05-22,"Hatillo",7,0.6
2020-05-22,"Hormigueros",12,1.0
2020-05-22,"Humacao",7,0.6
2020-05-22,"Isabela",14,1.2
2020-05-22,"Jayuya",2,0.2
2020-05-22,"Juana Díaz",13,1.1
2020-05-22,"Juncos",5,0.4
2020-05-22,"Lajas",6,0.5
2020-05-22,"Lares",3,0.3
2020-05-22,"Las Marías",7,0.6
2020-05-22,"Las Piedras",10,0.9
2020-05-22,"Loíza",2,0.2
2020-05-22,"Luquillo",8,0.7
2020-05-22,"Manatí",5,0.4
2020-05-22,"Maricao",2,0.2
2020-05-22,"Maunabo",3,0.3
2020-05-22,"Mayagüez",42,3.7
2020-05-22,"Moca",18,1.6
2020-05-22,"Morovis",1,0.1
2020-05-22,"Naguabo",2,0.2
2020-05-22,"Naranjito",1,0.1
2020-05-22,"Orocovis",6,0.5
2020-05-22,"Patillas",3,0.3
2020-05-22,"Peñuelas",3,0.3
2020-05-22,"Ponce",44,3.8
2020-05-22,"Quebradillas",18,1.6
2020-05-22,"Rincón",2,0.2
2020-05-22,"Rio Grande",10,0.9
2020-05-22,"Sabana Grande",13,1.1
2020-05-22,"Salinas",6,0.5
2020-05-22,"San Germán",18,1.6
2020-05-22,"San Juan",210,18.4
2020-05-22,"San Lorenzo",4,0.3
2020-05-22,"San Sebastián",22,1.9
2020-05-22,"Santa Isabel",2,0.2
2020-05-22,"Toa Alta",26,2.3
2020-05-22,"Toa Baja",26,2.3
2020-05-22,"Trujillo Alto",24,2.1
2020-05-22,"Vega Alta",12,1.0
2020-05-22,"Vega Baja",8,0.7
2020-05-22,"Villalba",12,1.0
2020-05-22,"Yabucoa",3,0.3
2020-05-22,"Yauco",17,1.5
2020-05-22,"Nueva York",6,
2020-05-22,"Nueva Jersey",2,
2020-05-22,"Florida",1,
2020-05-22,"Otro lugar fuera de PR",2,
2020-05-22,"No disponible",76,
2020-05-22,"Total",1230,
