bulletin_date,municipality,count,percent
2020-05-08,"Adjuntas",3,0.3
2020-05-08,"Aguada",6,0.7
2020-05-08,"Aguadilla",11,1.2
2020-05-08,"Aguas Buenas",14,1.5
2020-05-08,"Aibonito",5,0.5
2020-05-08,"Añasco",4,0.4
2020-05-08,"Arecibo",15,1.6
2020-05-08,"Arroyo",1,0.1
2020-05-08,"Barranquitas",5,0.5
2020-05-08,"Bayamón",51,5.5
2020-05-08,"Cabo Rojo",16,1.7
2020-05-08,"Caguas",42,4.6
2020-05-08,"Camuy",1,0.1
2020-05-08,"Canóvanas",11,1.2
2020-05-08,"Carolina",62,6.7
2020-05-08,"Cataño",6,0.7
2020-05-08,"Cayey",5,0.5
2020-05-08,"Ceiba",6,0.7
2020-05-08,"Cidra",11,1.2
2020-05-08,"Coamo",3,0.3
2020-05-08,"Comerío",2,0.2
2020-05-08,"Corozal",5,0.5
2020-05-08,"Dorado",13,1.4
2020-05-08,"Fajardo",1,0.1
2020-05-08,"Florida",1,0.1
2020-05-08,"Guánica",15,1.6
2020-05-08,"Guayama",3,0.3
2020-05-08,"Guayanilla",3,0.3
2020-05-08,"Guaynabo",62,6.7
2020-05-08,"Gurabo",8,0.9
2020-05-08,"Hatillo",5,0.5
2020-05-08,"Hormigueros",9,1.0
2020-05-08,"Humacao",6,0.7
2020-05-08,"Isabela",8,0.9
2020-05-08,"Jayuya",2,0.2
2020-05-08,"Juana Díaz",10,1.1
2020-05-08,"Juncos",5,0.5
2020-05-08,"Lajas",5,0.5
2020-05-08,"Lares",3,0.3
2020-05-08,"Las Marías",4,0.4
2020-05-08,"Las Piedras",5,0.5
2020-05-08,"Loíza",1,0.1
2020-05-08,"Luquillo",6,0.7
2020-05-08,"Manatí",3,0.3
2020-05-08,"Maunabo",3,0.3
2020-05-08,"Mayagüez",32,3.5
2020-05-08,"Moca",13,1.4
2020-05-08,"Morovis",1,0.1
2020-05-08,"Naguabo",1,0.1
2020-05-08,"Orocovis",6,0.7
2020-05-08,"Patillas",3,0.3
2020-05-08,"Peñuelas",2,0.2
2020-05-08,"Ponce",30,3.3
2020-05-08,"Quebradillas",18,2.0
2020-05-08,"Rincón",2,0.2
2020-05-08,"Rio Grande",9,1.0
2020-05-08,"Sabana Grande",9,1.0
2020-05-08,"Salinas",5,0.5
2020-05-08,"San Germán",17,1.8
2020-05-08,"San Juan",168,18.2
2020-05-08,"San Lorenzo",3,0.3
2020-05-08,"San Sebastián",18,2.0
2020-05-08,"Santa Isabel",3,0.3
2020-05-08,"Toa Alta",26,2.8
2020-05-08,"Toa Baja",22,2.4
2020-05-08,"Trujillo Alto",23,2.5
2020-05-08,"Vega Alta",12,1.3
2020-05-08,"Vega Baja",8,0.9
2020-05-08,"Villalba",5,0.5
2020-05-08,"Yabucoa",3,0.3
2020-05-08,"Yauco",17,1.8
2020-05-08,"Nueva York",5,
2020-05-08,"Nueva Jersey",1,
2020-05-08,"Florida",1,
2020-05-08,"Otro lugar fuera de PR",2,
2020-05-08,"No disponible",103,
2020-05-08,"Total",1034,
