bulletin_date,municipality,count,percent
2020-05-15,"Adjuntas",3,0.3
2020-05-15,"Aguada",6,0.6
2020-05-15,"Aguadilla",12,1.2
2020-05-15,"Aguas Buenas",14,1.4
2020-05-15,"Aibonito",6,0.6
2020-05-15,"Añasco",6,0.6
2020-05-15,"Arecibo",16,1.6
2020-05-15,"Arroyo",1,0.1
2020-05-15,"Barranquitas",7,0.7
2020-05-15,"Bayamón",63,6.3
2020-05-15,"Cabo Rojo",16,1.6
2020-05-15,"Caguas",44,4.4
2020-05-15,"Camuy",1,0.1
2020-05-15,"Canóvanas",12,1.2
2020-05-15,"Carolina",66,6.6
2020-05-15,"Cataño",6,0.6
2020-05-15,"Cayey",7,0.7
2020-05-15,"Ceiba",6,0.6
2020-05-15,"Cidra",11,1.1
2020-05-15,"Coamo",3,0.3
2020-05-15,"Comerío",3,0.3
2020-05-15,"Corozal",6,0.6
2020-05-15,"Dorado",13,1.3
2020-05-15,"Fajardo",2,0.2
2020-05-15,"Florida",1,0.1
2020-05-15,"Guánica",15,1.5
2020-05-15,"Guayama",5,0.5
2020-05-15,"Guayanilla",3,0.3
2020-05-15,"Guaynabo",68,6.8
2020-05-15,"Gurabo",10,1.0
2020-05-15,"Hatillo",5,0.5
2020-05-15,"Hormigueros",9,0.9
2020-05-15,"Humacao",6,0.6
2020-05-15,"Isabela",9,0.9
2020-05-15,"Jayuya",2,0.2
2020-05-15,"Juana Díaz",10,1.0
2020-05-15,"Juncos",4,0.4
2020-05-15,"Lajas",5,0.5
2020-05-15,"Lares",3,0.3
2020-05-15,"Las Marías",5,0.5
2020-05-15,"Las Piedras",6,0.6
2020-05-15,"Loíza",1,0.1
2020-05-15,"Luquillo",7,0.7
2020-05-15,"Manatí",3,0.3
2020-05-15,"Maricao",1,0.1
2020-05-15,"Maunabo",3,0.3
2020-05-15,"Mayagüez",32,3.2
2020-05-15,"Moca",15,1.5
2020-05-15,"Morovis",1,0.1
2020-05-15,"Naguabo",1,0.1
2020-05-15,"Naranjito",1,0.1
2020-05-15,"Orocovis",6,0.6
2020-05-15,"Patillas",3,0.3
2020-05-15,"Peñuelas",2,0.2
2020-05-15,"Ponce",36,3.6
2020-05-15,"Quebradillas",18,1.8
2020-05-15,"Rincón",2,0.2
2020-05-15,"Rio Grande",10,1.0
2020-05-15,"Sabana Grande",10,1.0
2020-05-15,"Salinas",6,0.6
2020-05-15,"San Germán",17,1.7
2020-05-15,"San Juan",187,18.6
2020-05-15,"San Lorenzo",3,0.3
2020-05-15,"San Sebastián",20,2.0
2020-05-15,"Santa Isabel",2,0.2
2020-05-15,"Toa Alta",26,2.6
2020-05-15,"Toa Baja",25,2.5
2020-05-15,"Trujillo Alto",23,2.3
2020-05-15,"Vega Alta",12,1.2
2020-05-15,"Vega Baja",8,0.8
2020-05-15,"Villalba",10,1.0
2020-05-15,"Yabucoa",3,0.3
2020-05-15,"Yauco",17,1.7
2020-05-15,"Nueva York",5,
2020-05-15,"Nueva Jersey",2,
2020-05-15,"Florida (estado)",1,
2020-05-15,"Otro lugar fuera de PR",2,
2020-05-15,"No disponible",97,
2020-05-15,"Total",1114,
