bulletin_date,municipality,count,percent
2020-05-07,"Adjuntas",3,0.3
2020-05-07,"Aguada",6,0.7
2020-05-07,"Aguadilla",11,1.2
2020-05-07,"Aguas Buenas",14,1.5
2020-05-07,"Aibonito",5,0.5
2020-05-07,"Añasco",4,0.4
2020-05-07,"Arecibo",15,1.6
2020-05-07,"Arroyo",1,0.1
2020-05-07,"Barranquitas",4,0.4
2020-05-07,"Bayamón",51,5.6
2020-05-07,"Cabo Rojo",16,1.7
2020-05-07,"Caguas",42,4.6
2020-05-07,"Camuy",1,0.1
2020-05-07,"Canóvanas",11,1.2
2020-05-07,"Carolina",62,6.8
2020-05-07,"Cataño",6,0.7
2020-05-07,"Cayey",5,0.5
2020-05-07,"Ceiba",6,0.7
2020-05-07,"Cidra",11,1.2
2020-05-07,"Coamo",3,0.3
2020-05-07,"Comerío",2,0.2
2020-05-07,"Corozal",4,0.4
2020-05-07,"Dorado",13,1.4
2020-05-07,"Fajardo",1,0.1
2020-05-07,"Florida",1,0.1
2020-05-07,"Guánica",15,1.6
2020-05-07,"Guayama",3,0.3
2020-05-07,"Guayanilla",3,0.3
2020-05-07,"Guaynabo",62,6.8
2020-05-07,"Gurabo",8,0.9
2020-05-07,"Hatillo",5,0.5
2020-05-07,"Hormigueros",9,1.0
2020-05-07,"Humacao",6,0.7
2020-05-07,"Isabela",8,0.9
2020-05-07,"Jayuya",2,0.2
2020-05-07,"Juana Díaz",10,1.1
2020-05-07,"Juncos",5,0.5
2020-05-07,"Lajas",4,0.4
2020-05-07,"Lares",3,0.3
2020-05-07,"Las Marías",4,0.4
2020-05-07,"Las Piedras",5,0.5
2020-05-07,"Loíza",1,0.1
2020-05-07,"Luquillo",6,0.7
2020-05-07,"Manatí",3,0.3
2020-05-07,"Maunabo",3,0.3
2020-05-07,"Mayagüez",32,3.5
2020-05-07,"Moca",13,1.4
2020-05-07,"Morovis",1,0.1
2020-05-07,"Naguabo",1,0.1
2020-05-07,"Orocovis",6,0.7
2020-05-07,"Patillas",3,0.3
2020-05-07,"Peñuelas",2,0.2
2020-05-07,"Ponce",29,3.2
2020-05-07,"Quebradillas",18,2.0
2020-05-07,"Rincón",2,0.2
2020-05-07,"Rio Grande",9,1.0
2020-05-07,"Sabana Grande",9,1.0
2020-05-07,"Salinas",5,0.5
2020-05-07,"San Germán",17,1.9
2020-05-07,"San Juan",166,18.1
2020-05-07,"San Lorenzo",3,0.3
2020-05-07,"San Sebastián",18,2.0
2020-05-07,"Santa Isabel",3,0.3
2020-05-07,"Toa Alta",26,2.8
2020-05-07,"Toa Baja",22,2.4
2020-05-07,"Trujillo Alto",23,2.5
2020-05-07,"Vega Alta",12,1.3
2020-05-07,"Vega Baja",8,0.9
2020-05-07,"Villalba",5,0.5
2020-05-07,"Yabucoa",3,0.3
2020-05-07,"Yauco",17,1.9
2020-05-07,"Nueva York",5,
2020-05-07,"Nueva Jersey",1,
2020-05-07,"Florida",1,
2020-05-07,"Otro lugar fuera de PR",2,
2020-05-07,"No disponible",104,
2020-05-07,"Total",1029,
