bulletin_date,municipality,count,percent
2020-05-27,"Adjuntas",7,0.6
2020-05-27,"Aguada",10,0.8
2020-05-27,"Aguadilla",15,1.3
2020-05-27,"Aguas Buenas",16,1.3
2020-05-27,"Aibonito",8,0.7
2020-05-27,"Añasco",6,0.5
2020-05-27,"Arecibo",18,1.5
2020-05-27,"Arroyo",4,0.3
2020-05-27,"Barceloneta",1,0.1
2020-05-27,"Barranquitas",9,0.8
2020-05-27,"Bayamón",77,6.4
2020-05-27,"Cabo Rojo",17,1.4
2020-05-27,"Caguas",46,3.8
2020-05-27,"Camuy",1,0.1
2020-05-27,"Canóvanas",14,1.2
2020-05-27,"Carolina",75,6.3
2020-05-27,"Cataño",7,0.6
2020-05-27,"Cayey",10,0.8
2020-05-27,"Ceiba",6,0.5
2020-05-27,"Cidra",12,1.0
2020-05-27,"Coamo",4,0.3
2020-05-27,"Comerío",3,0.3
2020-05-27,"Corozal",7,0.6
2020-05-27,"Dorado",13,1.1
2020-05-27,"Fajardo",2,0.2
2020-05-27,"Florida",2,0.2
2020-05-27,"Guánica",17,1.4
2020-05-27,"Guayama",6,0.5
2020-05-27,"Guayanilla",4,0.3
2020-05-27,"Guaynabo",79,6.6
2020-05-27,"Gurabo",10,0.8
2020-05-27,"Hatillo",9,0.8
2020-05-27,"Hormigueros",13,1.1
2020-05-27,"Humacao",7,0.6
2020-05-27,"Isabela",14,1.2
2020-05-27,"Jayuya",2,0.2
2020-05-27,"Juana Díaz",13,1.1
2020-05-27,"Juncos",5,0.4
2020-05-27,"Lajas",6,0.5
2020-05-27,"Lares",3,0.3
2020-05-27,"Las Marías",7,0.6
2020-05-27,"Las Piedras",10,0.8
2020-05-27,"Loíza",3,0.3
2020-05-27,"Luquillo",8,0.7
2020-05-27,"Manatí",5,0.4
2020-05-27,"Maricao",2,0.2
2020-05-27,"Maunabo",3,0.3
2020-05-27,"Mayagüez",42,3.5
2020-05-27,"Moca",18,1.5
2020-05-27,"Morovis",1,0.1
2020-05-27,"Naguabo",2,0.2
2020-05-27,"Naranjito",1,0.1
2020-05-27,"Orocovis",6,0.5
2020-05-27,"Patillas",4,0.3
2020-05-27,"Peñuelas",4,0.3
2020-05-27,"Ponce",45,3.8
2020-05-27,"Quebradillas",18,1.5
2020-05-27,"Rincón",4,0.3
2020-05-27,"Rio Grande",12,1.0
2020-05-27,"Sabana Grande",16,1.3
2020-05-27,"Salinas",7,0.6
2020-05-27,"San Germán",19,1.6
2020-05-27,"San Juan",219,18.3
2020-05-27,"San Lorenzo",6,0.5
2020-05-27,"San Sebastián",23,1.9
2020-05-27,"Santa Isabel",2,0.2
2020-05-27,"Toa Alta",26,2.2
2020-05-27,"Toa Baja",27,2.3
2020-05-27,"Trujillo Alto",26,2.2
2020-05-27,"Vega Alta",12,1.0
2020-05-27,"Vega Baja",8,0.7
2020-05-27,"Villalba",12,1.0
2020-05-27,"Yabucoa",3,0.3
2020-05-27,"Yauco",19,1.6
2020-05-27,"Nueva York",7,
2020-05-27,"Nueva Jersey",2,
2020-05-27,"Florida",1,
2020-05-27,"Otro lugar fuera de PR",2,
2020-05-27,"No disponible",70,
2020-05-27,"Total",1280,
