bulletin_date,municipality,count,percent
2020-05-25,"Adjuntas",6,0.5
2020-05-25,"Aguada",8,0.7
2020-05-25,"Aguadilla",15,1.3
2020-05-25,"Aguas Buenas",15,1.3
2020-05-25,"Aibonito",8,0.7
2020-05-25,"Añasco",6,0.5
2020-05-25,"Arecibo",16,1.4
2020-05-25,"Arroyo",4,0.3
2020-05-25,"Barranquitas",9,0.8
2020-05-25,"Bayamón",74,6.4
2020-05-25,"Cabo Rojo",17,1.5
2020-05-25,"Caguas",45,3.9
2020-05-25,"Camuy",1,0.1
2020-05-25,"Canóvanas",14,1.2
2020-05-25,"Carolina",75,6.5
2020-05-25,"Cataño",6,0.5
2020-05-25,"Cayey",10,0.9
2020-05-25,"Ceiba",6,0.5
2020-05-25,"Cidra",12,1.0
2020-05-25,"Coamo",4,0.3
2020-05-25,"Comerío",3,0.3
2020-05-25,"Corozal",7,0.6
2020-05-25,"Dorado",13,1.1
2020-05-25,"Fajardo",2,0.2
2020-05-25,"Florida",2,0.2
2020-05-25,"Guánica",17,1.5
2020-05-25,"Guayama",6,0.5
2020-05-25,"Guayanilla",4,0.3
2020-05-25,"Guaynabo",77,6.6
2020-05-25,"Gurabo",10,0.9
2020-05-25,"Hatillo",7,0.6
2020-05-25,"Hormigueros",12,1.0
2020-05-25,"Humacao",7,0.6
2020-05-25,"Isabela",14,1.2
2020-05-25,"Jayuya",2,0.2
2020-05-25,"Juana Díaz",13,1.1
2020-05-25,"Juncos",5,0.4
2020-05-25,"Lajas",6,0.5
2020-05-25,"Lares",3,0.3
2020-05-25,"Las Marías",7,0.6
2020-05-25,"Las Piedras",10,0.9
2020-05-25,"Loíza",2,0.2
2020-05-25,"Luquillo",8,0.7
2020-05-25,"Manatí",5,0.4
2020-05-25,"Maricao",2,0.2
2020-05-25,"Maunabo",3,0.3
2020-05-25,"Mayagüez",42,3.6
2020-05-25,"Moca",17,1.5
2020-05-25,"Morovis",1,0.1
2020-05-25,"Naguabo",2,0.2
2020-05-25,"Naranjito",1,0.1
2020-05-25,"Orocovis",6,0.5
2020-05-25,"Patillas",4,0.3
2020-05-25,"Peñuelas",3,0.3
2020-05-25,"Ponce",44,3.8
2020-05-25,"Quebradillas",18,1.6
2020-05-25,"Rincón",2,0.2
2020-05-25,"Rio Grande",11,0.9
2020-05-25,"Sabana Grande",14,1.2
2020-05-25,"Salinas",7,0.6
2020-05-25,"San Germán",18,1.6
2020-05-25,"San Juan",211,18.2
2020-05-25,"San Lorenzo",5,0.4
2020-05-25,"San Sebastián",22,1.9
2020-05-25,"Santa Isabel",2,0.2
2020-05-25,"Toa Alta",26,2.2
2020-05-25,"Toa Baja",27,2.3
2020-05-25,"Trujillo Alto",25,2.2
2020-05-25,"Vega Alta",12,1.0
2020-05-25,"Vega Baja",8,0.7
2020-05-25,"Villalba",12,1.0
2020-05-25,"Yabucoa",3,0.3
2020-05-25,"Yauco",18,1.6
2020-05-25,"Nueva York",6,
2020-05-25,"Nueva Jersey",2,
2020-05-25,"Florida (estado)",1,
2020-05-25,"Otro lugar fuera de PR",2,
2020-05-25,"No disponible",71,
2020-05-25,"Total",1241,
