bulletin_date,municipality,count,percent
2020-05-06,"Adjuntas",3,0.3
2020-05-06,"Aguada",6,0.7
2020-05-06,"Aguadilla",11,1.2
2020-05-06,"Aguas Buenas",13,1.4
2020-05-06,"Aibonito",5,0.6
2020-05-06,"Añasco",4,0.4
2020-05-06,"Arecibo",15,1.7
2020-05-06,"Arroyo",1,0.1
2020-05-06,"Barranquitas",3,0.3
2020-05-06,"Bayamón",51,5.6
2020-05-06,"Cabo Rojo",16,1.8
2020-05-06,"Caguas",41,4.5
2020-05-06,"Camuy",1,0.1
2020-05-06,"Canóvanas",11,1.2
2020-05-06,"Carolina",62,6.9
2020-05-06,"Cataño",6,0.7
2020-05-06,"Cayey",5,0.6
2020-05-06,"Ceiba",6,0.7
2020-05-06,"Cidra",11,1.2
2020-05-06,"Coamo",3,0.3
2020-05-06,"Comerío",2,0.2
2020-05-06,"Corozal",4,0.4
2020-05-06,"Dorado",13,1.4
2020-05-06,"Fajardo",1,0.1
2020-05-06,"Florida",1,0.1
2020-05-06,"Guánica",15,1.7
2020-05-06,"Guayama",3,0.3
2020-05-06,"Guayanilla",3,0.3
2020-05-06,"Guaynabo",60,6.6
2020-05-06,"Gurabo",8,0.9
2020-05-06,"Hatillo",5,0.6
2020-05-06,"Hormigueros",9,1.0
2020-05-06,"Humacao",6,0.7
2020-05-06,"Isabela",8,0.9
2020-05-06,"Jayuya",2,0.2
2020-05-06,"Juana Díaz",10,1.1
2020-05-06,"Juncos",5,0.6
2020-05-06,"Lajas",4,0.4
2020-05-06,"Lares",3,0.3
2020-05-06,"Las Marías",4,0.4
2020-05-06,"Las Piedras",5,0.6
2020-05-06,"Loíza",1,0.1
2020-05-06,"Luquillo",5,0.6
2020-05-06,"Manatí",3,0.3
2020-05-06,"Maunabo",3,0.3
2020-05-06,"Mayagüez",32,3.5
2020-05-06,"Moca",13,1.4
2020-05-06,"Morovis",1,0.1
2020-05-06,"Naguabo",1,0.1
2020-05-06,"Orocovis",6,0.7
2020-05-06,"Patillas",3,0.3
2020-05-06,"Peñuelas",2,0.2
2020-05-06,"Ponce",28,3.1
2020-05-06,"Quebradillas",17,1.9
2020-05-06,"Rincón",2,0.2
2020-05-06,"Rio Grande",8,0.9
2020-05-06,"Sabana Grande",9,1.0
2020-05-06,"Salinas",4,0.4
2020-05-06,"San Germán",17,1.9
2020-05-06,"San Juan",163,18.1
2020-05-06,"San Lorenzo",3,0.3
2020-05-06,"San Sebastián",18,2.0
2020-05-06,"Santa Isabel",3,0.3
2020-05-06,"Toa Alta",26,2.9
2020-05-06,"Toa Baja",22,2.4
2020-05-06,"Trujillo Alto",23,2.5
2020-05-06,"Vega Alta",12,1.3
2020-05-06,"Vega Baja",8,0.9
2020-05-06,"Villalba",5,0.6
2020-05-06,"Yabucoa",3,0.3
2020-05-06,"Yauco",17,1.9
2020-05-06,"Nueva York",5,
2020-05-06,"Nueva Jersey",1,
2020-05-06,"Florida",1,
2020-05-06,"Otro lugar fuera de PR",2,
2020-05-06,"No disponible",101,
2020-05-06,"Total",1013,
