bulletin_date,municipality,count,percent
2020-05-16,"Adjuntas",3,0.3
2020-05-16,"Aguada",6,0.6
2020-05-16,"Aguadilla",13,1.3
2020-05-16,"Aguas Buenas",14,1.3
2020-05-16,"Aibonito",6,0.6
2020-05-16,"Añasco",6,0.6
2020-05-16,"Arecibo",16,1.5
2020-05-16,"Arroyo",1,0.1
2020-05-16,"Barranquitas",7,0.7
2020-05-16,"Bayamón",65,6.3
2020-05-16,"Cabo Rojo",16,1.5
2020-05-16,"Caguas",44,4.2
2020-05-16,"Camuy",1,0.1
2020-05-16,"Canóvanas",12,1.2
2020-05-16,"Carolina",67,6.5
2020-05-16,"Cataño",6,0.6
2020-05-16,"Cayey",7,0.7
2020-05-16,"Ceiba",6,0.6
2020-05-16,"Cidra",12,1.2
2020-05-16,"Coamo",4,0.4
2020-05-16,"Comerío",3,0.3
2020-05-16,"Corozal",6,0.6
2020-05-16,"Dorado",13,1.3
2020-05-16,"Fajardo",2,0.2
2020-05-16,"Florida",1,0.1
2020-05-16,"Guánica",15,1.4
2020-05-16,"Guayama",5,0.5
2020-05-16,"Guayanilla",3,0.3
2020-05-16,"Guaynabo",71,6.8
2020-05-16,"Gurabo",10,1.0
2020-05-16,"Hatillo",5,0.5
2020-05-16,"Hormigueros",9,0.9
2020-05-16,"Humacao",6,0.6
2020-05-16,"Isabela",10,1.0
2020-05-16,"Jayuya",2,0.2
2020-05-16,"Juana Díaz",10,1.0
2020-05-16,"Juncos",4,0.4
2020-05-16,"Lajas",5,0.5
2020-05-16,"Lares",3,0.3
2020-05-16,"Las Marías",5,0.5
2020-05-16,"Las Piedras",7,0.7
2020-05-16,"Loíza",2,0.2
2020-05-16,"Luquillo",7,0.7
2020-05-16,"Manatí",3,0.3
2020-05-16,"Maricao",1,0.1
2020-05-16,"Maunabo",3,0.3
2020-05-16,"Mayagüez",35,3.4
2020-05-16,"Moca",15,1.4
2020-05-16,"Morovis",1,0.1
2020-05-16,"Naguabo",2,0.2
2020-05-16,"Naranjito",1,0.1
2020-05-16,"Orocovis",6,0.6
2020-05-16,"Patillas",3,0.3
2020-05-16,"Peñuelas",3,0.3
2020-05-16,"Ponce",38,3.7
2020-05-16,"Quebradillas",18,1.7
2020-05-16,"Rincón",2,0.2
2020-05-16,"Rio Grande",10,1.0
2020-05-16,"Sabana Grande",11,1.1
2020-05-16,"Salinas",6,0.6
2020-05-16,"San Germán",18,1.7
2020-05-16,"San Juan",193,18.6
2020-05-16,"San Lorenzo",4,0.4
2020-05-16,"San Sebastián",21,2.0
2020-05-16,"Santa Isabel",2,0.2
2020-05-16,"Toa Alta",26,2.5
2020-05-16,"Toa Baja",25,2.4
2020-05-16,"Trujillo Alto",23,2.2
2020-05-16,"Vega Alta",12,1.2
2020-05-16,"Vega Baja",8,0.8
2020-05-16,"Villalba",12,1.2
2020-05-16,"Yabucoa",3,0.3
2020-05-16,"Yauco",17,1.6
2020-05-16,"Nueva York",5,
2020-05-16,"Nueva Jersey",2,
2020-05-16,"Florida (estado)",1,
2020-05-16,"Otro lugar fuera de PR",2,
2020-05-16,"No disponible",99,
2020-05-16,"Total",1147,
