bulletin_date,municipality,count,percent
2020-06-02,"Adjuntas",7,0.6
2020-06-02,"Aguada",10,0.8
2020-06-02,"Aguadilla",15,1.2
2020-06-02,"Aguas Buenas",16,1.3
2020-06-02,"Aibonito",8,0.6
2020-06-02,"Añasco",7,0.6
2020-06-02,"Arecibo",18,1.5
2020-06-02,"Arroyo",4,0.3
2020-06-02,"Barceloneta",1,0.1
2020-06-02,"Barranquitas",9,0.7
2020-06-02,"Bayamón",78,6.3
2020-06-02,"Cabo Rojo",19,1.5
2020-06-02,"Caguas",47,3.8
2020-06-02,"Camuy",1,0.1
2020-06-02,"Canóvanas",15,1.2
2020-06-02,"Carolina",78,6.3
2020-06-02,"Cataño",7,0.6
2020-06-02,"Cayey",10,0.8
2020-06-02,"Ceiba",7,0.6
2020-06-02,"Ciales",1,0.1
2020-06-02,"Cidra",12,1.0
2020-06-02,"Coamo",4,0.3
2020-06-02,"Comerío",3,0.2
2020-06-02,"Corozal",7,0.6
2020-06-02,"Dorado",13,1.1
2020-06-02,"Fajardo",2,0.2
2020-06-02,"Florida",2,0.2
2020-06-02,"Guánica",18,1.5
2020-06-02,"Guayama",6,0.5
2020-06-02,"Guayanilla",4,0.3
2020-06-02,"Guaynabo",81,6.6
2020-06-02,"Gurabo",10,0.8
2020-06-02,"Hatillo",9,0.7
2020-06-02,"Hormigueros",13,1.1
2020-06-02,"Humacao",7,0.6
2020-06-02,"Isabela",15,1.2
2020-06-02,"Jayuya",2,0.2
2020-06-02,"Juana Díaz",14,1.1
2020-06-02,"Juncos",5,0.4
2020-06-02,"Lajas",6,0.5
2020-06-02,"Lares",3,0.2
2020-06-02,"Las Marías",7,0.6
2020-06-02,"Las Piedras",11,0.9
2020-06-02,"Loíza",4,0.3
2020-06-02,"Luquillo",7,0.6
2020-06-02,"Manatí",5,0.4
2020-06-02,"Maricao",2,0.2
2020-06-02,"Maunabo",3,0.2
2020-06-02,"Mayagüez",44,3.6
2020-06-02,"Moca",18,1.5
2020-06-02,"Morovis",2,0.2
2020-06-02,"Naguabo",2,0.2
2020-06-02,"Naranjito",1,0.1
2020-06-02,"Orocovis",9,0.7
2020-06-02,"Patillas",4,0.3
2020-06-02,"Peñuelas",5,0.4
2020-06-02,"Ponce",48,3.9
2020-06-02,"Quebradillas",18,1.5
2020-06-02,"Rincón",4,0.3
2020-06-02,"Rio Grande",11,0.9
2020-06-02,"Sabana Grande",16,1.3
2020-06-02,"Salinas",9,0.7
2020-06-02,"San Germán",19,1.5
2020-06-02,"San Juan",228,18.5
2020-06-02,"San Lorenzo",6,0.5
2020-06-02,"San Sebastián",23,1.9
2020-06-02,"Santa Isabel",2,0.2
2020-06-02,"Toa Alta",26,2.1
2020-06-02,"Toa Baja",27,2.2
2020-06-02,"Trujillo Alto",25,2.0
2020-06-02,"Vega Alta",12,1.0
2020-06-02,"Vega Baja",8,0.6
2020-06-02,"Villalba",12,1.0
2020-06-02,"Yabucoa",3,0.2
2020-06-02,"Yauco",18,1.5
2020-06-02,"Nueva York",7,
2020-06-02,"Nueva Jersey",2,
2020-06-02,"Florida (estado)",1,
2020-06-02,"Otro lugar fuera de PR",2,
2020-06-02,"No disponible",68,
2020-06-02,"Total",1313,
