bulletin_date,municipality,count,percent
2020-05-10,"Adjuntas",3,0.3
2020-05-10,"Aguada",6,0.6
2020-05-10,"Aguadilla",12,1.3
2020-05-10,"Aguas Buenas",14,1.5
2020-05-10,"Aibonito",5,0.5
2020-05-10,"Añasco",6,0.6
2020-05-10,"Arecibo",15,1.6
2020-05-10,"Arroyo",1,0.1
2020-05-10,"Barranquitas",5,0.5
2020-05-10,"Bayamón",55,5.8
2020-05-10,"Cabo Rojo",16,1.7
2020-05-10,"Caguas",43,4.5
2020-05-10,"Camuy",1,0.1
2020-05-10,"Canóvanas",11,1.2
2020-05-10,"Carolina",63,6.6
2020-05-10,"Cataño",6,0.6
2020-05-10,"Cayey",5,0.5
2020-05-10,"Ceiba",6,0.6
2020-05-10,"Cidra",11,1.2
2020-05-10,"Coamo",3,0.3
2020-05-10,"Comerío",2,0.2
2020-05-10,"Corozal",5,0.5
2020-05-10,"Dorado",13,1.4
2020-05-10,"Fajardo",1,0.1
2020-05-10,"Florida",1,0.1
2020-05-10,"Guánica",15,1.6
2020-05-10,"Guayama",4,0.4
2020-05-10,"Guayanilla",3,0.3
2020-05-10,"Guaynabo",64,6.7
2020-05-10,"Gurabo",9,0.9
2020-05-10,"Hatillo",5,0.5
2020-05-10,"Hormigueros",9,0.9
2020-05-10,"Humacao",6,0.6
2020-05-10,"Isabela",8,0.8
2020-05-10,"Jayuya",2,0.2
2020-05-10,"Juana Díaz",10,1.1
2020-05-10,"Juncos",5,0.5
2020-05-10,"Lajas",5,0.5
2020-05-10,"Lares",3,0.3
2020-05-10,"Las Marías",5,0.5
2020-05-10,"Las Piedras",5,0.5
2020-05-10,"Loíza",2,0.2
2020-05-10,"Luquillo",7,0.7
2020-05-10,"Manatí",3,0.3
2020-05-10,"Maunabo",3,0.3
2020-05-10,"Mayagüez",32,3.4
2020-05-10,"Moca",14,1.5
2020-05-10,"Morovis",1,0.1
2020-05-10,"Naguabo",1,0.1
2020-05-10,"Orocovis",6,0.6
2020-05-10,"Patillas",3,0.3
2020-05-10,"Peñuelas",2,0.2
2020-05-10,"Ponce",30,3.2
2020-05-10,"Quebradillas",18,1.9
2020-05-10,"Rincón",2,0.2
2020-05-10,"Rio Grande",10,1.1
2020-05-10,"Sabana Grande",10,1.1
2020-05-10,"Salinas",5,0.5
2020-05-10,"San Germán",17,1.8
2020-05-10,"San Juan",169,17.8
2020-05-10,"San Lorenzo",3,0.3
2020-05-10,"San Sebastián",19,2.0
2020-05-10,"Santa Isabel",3,0.3
2020-05-10,"Toa Alta",26,2.7
2020-05-10,"Toa Baja",24,2.5
2020-05-10,"Trujillo Alto",23,2.4
2020-05-10,"Vega Alta",12,1.3
2020-05-10,"Vega Baja",8,0.8
2020-05-10,"Villalba",9,0.9
2020-05-10,"Yabucoa",3,0.3
2020-05-10,"Yauco",17,1.8
2020-05-10,"Nueva York",5,
2020-05-10,"Nueva Jersey",1,
2020-05-10,"Florida (estado)",1,
2020-05-10,"Otro lugar fuera de PR",2,
2020-05-10,"No disponible",96,
2020-05-10,"Total",1054,
