bulletin_date,municipality,count,percent
2020-06-06,"Adjuntas",8,0.6
2020-06-06,"Aguada",10,0.8
2020-06-06,"Aguadilla",15,1.2
2020-06-06,"Aguas Buenas",16,1.2
2020-06-06,"Aibonito",8,0.6
2020-06-06,"Añasco",7,0.5
2020-06-06,"Arecibo",18,1.4
2020-06-06,"Arroyo",5,0.4
2020-06-06,"Barceloneta",1,0.1
2020-06-06,"Barranquitas",9,0.7
2020-06-06,"Bayamón",82,6.3
2020-06-06,"Cabo Rojo",20,1.5
2020-06-06,"Caguas",49,3.8
2020-06-06,"Camuy",1,0.1
2020-06-06,"Canóvanas",16,1.2
2020-06-06,"Carolina",81,6.2
2020-06-06,"Cataño",9,0.7
2020-06-06,"Cayey",11,0.8
2020-06-06,"Ceiba",7,0.5
2020-06-06,"Ciales",12,0.9
2020-06-06,"Cidra",11,0.8
2020-06-06,"Coamo",4,0.3
2020-06-06,"Comerío",3,0.2
2020-06-06,"Corozal",8,0.6
2020-06-06,"Dorado",15,1.2
2020-06-06,"Fajardo",3,0.2
2020-06-06,"Florida",2,0.2
2020-06-06,"Guánica",17,1.3
2020-06-06,"Guayama",6,0.5
2020-06-06,"Guayanilla",4,0.3
2020-06-06,"Guaynabo",88,6.8
2020-06-06,"Gurabo",10,0.8
2020-06-06,"Hatillo",9,0.7
2020-06-06,"Hormigueros",13,1.0
2020-06-06,"Humacao",8,0.6
2020-06-06,"Isabela",14,1.1
2020-06-06,"Jayuya",2,0.2
2020-06-06,"Juana Díaz",16,1.2
2020-06-06,"Juncos",7,0.5
2020-06-06,"Lajas",7,0.5
2020-06-06,"Lares",3,0.2
2020-06-06,"Las Marías",7,0.5
2020-06-06,"Las Piedras",11,0.8
2020-06-06,"Loíza",4,0.3
2020-06-06,"Luquillo",7,0.5
2020-06-06,"Manatí",5,0.4
2020-06-06,"Maricao",3,0.2
2020-06-06,"Maunabo",3,0.2
2020-06-06,"Mayagüez",45,3.5
2020-06-06,"Moca",18,1.4
2020-06-06,"Morovis",2,0.2
2020-06-06,"Naguabo",2,0.2
2020-06-06,"Naranjito",1,0.1
2020-06-06,"Orocovis",9,0.7
2020-06-06,"Patillas",4,0.3
2020-06-06,"Peñuelas",6,0.5
2020-06-06,"Ponce",49,3.8
2020-06-06,"Quebradillas",19,1.5
2020-06-06,"Rincón",4,0.3
2020-06-06,"Rio Grande",12,0.9
2020-06-06,"Sabana Grande",16,1.2
2020-06-06,"Salinas",10,0.8
2020-06-06,"San Germán",19,1.5
2020-06-06,"San Juan",236,18.2
2020-06-06,"San Lorenzo",7,0.5
2020-06-06,"San Sebastián",25,1.9
2020-06-06,"Santa Isabel",2,0.2
2020-06-06,"Toa Alta",29,2.2
2020-06-06,"Toa Baja",26,2.0
2020-06-06,"Trujillo Alto",27,2.1
2020-06-06,"Utuado",1,0.1
2020-06-06,"Vega Alta",12,0.9
2020-06-06,"Vega Baja",8,0.6
2020-06-06,"Villalba",12,0.9
2020-06-06,"Yabucoa",4,0.3
2020-06-06,"Yauco",19,1.5
2020-06-06,"Nueva York",7,
2020-06-06,"Nueva Jersey",2,
2020-06-06,"Florida",2,
2020-06-06,"Otro lugar fuera de PR",2,
2020-06-06,"No disponible",52,
2020-06-06,"Total",1364,
