bulletin_date,municipality,count,percent
2020-05-05,"Adjuntas",3,0.3
2020-05-05,"Aguada",6,0.7
2020-05-05,"Aguadilla",11,1.2
2020-05-05,"Aguas Buenas",13,1.5
2020-05-05,"Aibonito",5,0.6
2020-05-05,"Añasco",4,0.4
2020-05-05,"Arecibo",15,1.7
2020-05-05,"Arroyo",1,0.1
2020-05-05,"Barranquitas",2,0.2
2020-05-05,"Bayamón",50,5.6
2020-05-05,"Cabo Rojo",16,1.8
2020-05-05,"Caguas",40,4.5
2020-05-05,"Camuy",1,0.1
2020-05-05,"Canóvanas",11,1.2
2020-05-05,"Carolina",62,6.9
2020-05-05,"Cataño",6,0.7
2020-05-05,"Cayey",5,0.6
2020-05-05,"Ceiba",6,0.7
2020-05-05,"Cidra",11,1.2
2020-05-05,"Coamo",3,0.3
2020-05-05,"Comerío",2,0.2
2020-05-05,"Corozal",4,0.4
2020-05-05,"Dorado",13,1.5
2020-05-05,"Fajardo",1,0.1
2020-05-05,"Florida",1,0.1
2020-05-05,"Guánica",15,1.7
2020-05-05,"Guayama",3,0.3
2020-05-05,"Guayanilla",3,0.3
2020-05-05,"Guaynabo",60,6.7
2020-05-05,"Gurabo",8,0.9
2020-05-05,"Hatillo",5,0.6
2020-05-05,"Hormigueros",9,1.0
2020-05-05,"Humacao",6,0.7
2020-05-05,"Isabela",8,0.9
2020-05-05,"Jayuya",2,0.2
2020-05-05,"Juana Díaz",10,1.1
2020-05-05,"Juncos",5,0.6
2020-05-05,"Lajas",4,0.4
2020-05-05,"Lares",3,0.3
2020-05-05,"Las Marías",4,0.4
2020-05-05,"Las Piedras",5,0.6
2020-05-05,"Loíza",1,0.1
2020-05-05,"Luquillo",5,0.6
2020-05-05,"Manatí",3,0.3
2020-05-05,"Maunabo",3,0.3
2020-05-05,"Mayagüez",32,3.6
2020-05-05,"Moca",13,1.5
2020-05-05,"Morovis",1,0.1
2020-05-05,"Naguabo",1,0.1
2020-05-05,"Orocovis",6,0.7
2020-05-05,"Patillas",3,0.3
2020-05-05,"Peñuelas",2,0.2
2020-05-05,"Ponce",28,3.1
2020-05-05,"Quebradillas",15,1.7
2020-05-05,"Rincón",2,0.2
2020-05-05,"Rio Grande",8,0.9
2020-05-05,"Sabana Grande",9,1.0
2020-05-05,"Salinas",4,0.4
2020-05-05,"San Germán",17,1.9
2020-05-05,"San Juan",162,18.1
2020-05-05,"San Lorenzo",3,0.3
2020-05-05,"San Sebastián",18,2.0
2020-05-05,"Santa Isabel",3,0.3
2020-05-05,"Toa Alta",25,2.8
2020-05-05,"Toa Baja",22,2.5
2020-05-05,"Trujillo Alto",23,2.6
2020-05-05,"Vega Alta",12,1.3
2020-05-05,"Vega Baja",8,0.9
2020-05-05,"Villalba",5,0.6
2020-05-05,"Yabucoa",3,0.3
2020-05-05,"Yauco",17,1.9
2020-05-05,"Nueva York",5,
2020-05-05,"Nueva Jersey",1,
2020-05-05,"Florida",1,
2020-05-05,"Otro lugar fuera de PR",2,
2020-05-05,"No disponible",101,
2020-05-05,"Total",1006,
